created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 08 22:22:18 +0000 2023;1722379039917080949;"Take a quick tour of the Cessna Citation Sovereign, a super midsize jet with coast-to-coast range.  For information on chartering, buying or selling a private jet, visit https://t.co/bnLzn6eQa6.  #privatejet #travel #luxury #privatetravel #charter #jetcard #aircharter https://t.co/cP9BU5nLrB";0;0;0;2;en;627484220;1722379039917080949;Private_Flights;https://twitter.com/Private_Flights/status/1722379039917080949
Wed Nov 08 15:44:59 +0000 2023;1722279054156730518;"@secret99love @SuperAirJet @secret99love Mimin meluncur ke DM Kak 🙏 -AN";0;0;0;0;in;498496042;1722276815031750912;traveloka;https://twitter.com/traveloka/status/1722279054156730518
Wed Nov 08 15:41:08 +0000 2023;1722278086589432007;"@traveloka @SuperAirJet cek dm min";0;1;0;0;in;1250329827602616320;1722276815031750912;secret99love;https://twitter.com/secret99love/status/1722278086589432007
Wed Nov 08 15:38:47 +0000 2023;1722277495276531943;"@secret99love @SuperAirJet @secret99love Hai Kak. Mohon maaf atas ketidaknyamanannya. Mohon infokan detail kendala dan nomor pesanan via DM. Terima kasih. -AN";0;1;0;0;in;498496042;1722276815031750912;traveloka;https://twitter.com/traveloka/status/1722277495276531943
Wed Nov 08 15:36:05 +0000 2023;1722276815031750912;"kenapa aku daritadi check in online gagal terus min ??? 😭😭😭 @SuperAirJet @traveloka";0;1;0;0;in;1250329827602616320;1722276815031750912;secret99love;https://twitter.com/secret99love/status/1722276815031750912
Wed Nov 08 14:30:47 +0000 2023;1722260381941616650;"Penerbangan dari jakarta ke batam bawa bagasi sepeda lipat 13kg kena biaya berapa min @SuperAirJet?";0;0;0;0;in;86967850;1722260381941616650;danysaurusss;https://twitter.com/danysaurusss/status/1722260381941616650
Wed Nov 08 14:14:08 +0000 2023;1722256189973725362;"Super Air Jet melayani penerbangan perdana Jakarta-Pangkalpinang pergi-pulang (PP), Rabu (8/11/2023). Frekuensinya direncanakan tiga kali sehari. https://t.co/gmnzVlKfq4";0;0;0;0;in;454647489;1722256189973725362;KompasTravel;https://twitter.com/KompasTravel/status/1722256189973725362
Wed Nov 08 11:48:19 +0000 2023;1722219496533106823;"The end of an era: A behind the scenes look inside the last JSTARS jet left at Robins Air Force Base https://t.co/kmOIJzSTuH via @13WMAZNEWS";0;0;0;0;en;80994991;1722219496533106823;F4SuperBugfan89;https://twitter.com/F4SuperBugfan89/status/1722219496533106823
Wed Nov 08 09:26:08 +0000 2023;1722183711876075896;"@MiloWKB I'm not sure. It didn't seem like jets. It was super low rumbling but louder than the weather. It just lasted too long it seemed. On the radar lastnight I would see 4 flights of american air force about 20 after the noise. But there was nothing on the radar at the time. 💜";0;1;0;2;en;1513924906488152064;1722036921751269765;laurendeboneill;https://twitter.com/laurendeboneill/status/1722183711876075896
Wed Nov 08 08:56:17 +0000 2023;1722176201312387216;"Gak lagi2 naik SUPER AIR JET dri CGK 👎👎👎 Tiba2 ganti jam penerbangan. Tiba2 ganti Gate boarding, Dri Gate A1 ke A7 tu jauh cooook 😡 dengan waktu yg gak jelas 😩 Layar gate A1 sama layar ingpo depan beda. Kaki mu mau copot bang*** 🤬🤬";0;0;0;0;in;1349233887512195073;1722176201312387216;SilviaNovitta_;https://twitter.com/SilviaNovitta_/status/1722176201312387216
Wed Nov 08 08:33:05 +0000 2023;1722170364502090074;"@TasyaTaneta @SuperAirJet @Kemenkumham_RI Gas kak";0;0;0;0;in;99241935;1722114363270791676;iwalbani;https://twitter.com/iwalbani/status/1722170364502090074
Wed Nov 08 06:03:37 +0000 2023;1722132747114713314;"@AvStatsData @KoreanAir @Qantas @SuperAirJet Hii safi";0;0;0;0;is;954274307210907648;1722097886530351579;LostSimion2;https://twitter.com/LostSimion2/status/1722132747114713314
Wed Nov 08 05:49:09 +0000 2023;1722129106161275000;"Lion Airが欠航になったので払戻申請して、1時間早いSuper Air Jetを取り直しました。 https://t.co/sCe9UgJNzi";0;0;0;1;ja;132266876;1722129106161275000;562_1992;https://twitter.com/562_1992/status/1722129106161275000
Wed Nov 08 05:16:56 +0000 2023;1722121000853352908;", dan masih banyak lagi. Jadi, buat para millenials travelers, jangan ragu untuk memilih Super Air Jet sebagai pilihan terbaikmu!";0;0;0;0;in;1686985864776482816;1722121000853352908;alvarooooagm;https://twitter.com/alvarooooagm/status/1722121000853352908
Wed Nov 08 03:45:05 +0000 2023;1722097886530351579;"🛫BUSIEST ROUTES 🏁 Week 43: 🛩 World Wide 🌍 [daily flights] 🥇: 🇰🇷 CJU-GMP 🇰🇷 - @KoreanAir [252] 🥈: 🇦🇺 MEL-SYD 🇦🇺 - @Qantas [154] 🥉: 🇮🇩 CGK-DPS 🇮🇩 - @SuperAirJet [132]   4 : 🇹🇿 DAR-ZNZ 🇹🇿 - [122]   5 : 🇯🇵 FUK-HND 🇯🇵 - [114]   6 : 🇻🇳 HAN-SGN 🇻🇳 - [111] #Flying #Planespotting";0;1;1;0;en;1638962080278618112;1722097886530351579;AvStatsData;https://twitter.com/AvStatsData/status/1722097886530351579
Wed Nov 08 02:32:15 +0000 2023;1722079554817449986;"Halo sobat #adhyaksa  Rabu, 08 November 2023 - Asisten Bidang Intelijen Fadil Regan, S.H., M.H. menghadiri Undangan Inaugural Flight Super Air Jet Rute Jakarta-Pangkalpinang-Jakarta di Bandara Depati Amir Pangkalpinang. . . @KejaksaanRI  @jaksapedia #kejaksaanri #KejaksaanAgung https://t.co/8fntWPQQmk";0;0;0;0;in;1276531309456666624;1722079554817449986;BabelKejati;https://twitter.com/BabelKejati/status/1722079554817449986
Tue Nov 07 15:23:59 +0000 2023;1721911382780833893;"@SuperAirJet @lionairgroup min, tolong dm dong, penting mau reschedule please 🙏lewat chatWA/email/ telpon zonk semua 😭";0;0;0;0;in;1264123910439632896;1721911382780833893;tidaklengket;https://twitter.com/tidaklengket/status/1721911382780833893
Tue Nov 07 14:23:44 +0000 2023;1721896219839271114;"@irmsprtw @simple_dong @berburusales @Trip Di traveloka &amp  tiket harga nya bisa di bawah 300k kak, ini maskapai super air jet rute baru operasi beberapa bulan, ga cuma pekanbaru tapi paddang juga ada.";0;0;0;0;in;1173781363519942657;1721768841062301737;Pawwpaaw;https://twitter.com/Pawwpaaw/status/1721896219839271114
Tue Nov 07 10:25:00 +0000 2023;1721836138388688955;"Только на JET ✈️ ⠀ Брендированный слот JET AIR 👩‍✈️🎰 Оцените наш коллаб с BGaming и ловите сверхзвуковые SUPER WINS в числе первых 🛫🕹 ⠀ Играть — https://t.co/YbOS5LkugP https://t.co/Sv1OvnFhpx";0;0;0;1;ru;1488896071036190724;1721836138388688955;jetcasino_games;https://twitter.com/jetcasino_games/status/1721836138388688955
Tue Nov 07 09:56:49 +0000 2023;1721829046278078717;"Easy moving portable air cooled 5kw 7kw 8kw 9kw 12kw super silent diesel generator set Generator type: Single phase  50HZ/60HZ  WhatsApp &amp  Wechat:+86 13696836615  Email: info@jet-power.cn  WEB: https://t.co/XZMNtEsCR3 https://t.co/7tgkLYuDEX";0;0;0;0;de;1266188657167220737;1721829046278078717;jet__power;https://twitter.com/jet__power/status/1721829046278078717
Tue Nov 07 09:45:03 +0000 2023;1721826087385141264;"🛫BUSIEST ROUTES 🏁 Week 43: 🛩 Asia-Pacific 🌏 [daily flights] 🥇: 🇰🇷 CJU-GMP 🇰🇷 - @KoreanAir [252] 🥈: 🇦🇺 MEL-SYD 🇦🇺 - @Qantas [154] 🥉: 🇮🇩 CGK-DPS 🇮🇩 - @SuperAirJet [132]   4 : 🇯🇵 FUK-HND 🇯🇵 - [114]   5 : 🇻🇳 HAN-SGN 🇻🇳 - [111]   6 : 🇯🇵 CTS-HND 🇯🇵 - [109] #Airtravel #Data #ATC";0;0;0;0;in;1638962080278618112;1721826087385141264;AvStatsData;https://twitter.com/AvStatsData/status/1721826087385141264
