created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Nov 04 23:00:03 +0000 2023;1720938991913255337;"Batik air初めて乗るなぁ✈️  マレーシアの飛行機ってよく落ちるイメージなんやけど… https://t.co/I8trDkQGwD";0;0;0;4;ja;154892447;1720938991913255337;kitiyriroriro;https://twitter.com/kitiyriroriro/status/1720938991913255337
Sat Nov 04 22:26:08 +0000 2023;1720930453572731317;"Ayahnya supir Taxi Presiden. Oppung temukan di Angkot KWK 04 jurusan Rawamangun Kelapa Gading 20 tahun lalu. Anak angkuh dan nakal itu kini jadi Pramugari Senior di Batik Air jurusan jazirah Arab. Namanya, Theresia Silalahi. Safe flight boru, Oppung selalu merindukanmu. https://t.co/JRtbBO4RYy";0;4;6;46;in;1424190373518188544;1720930453572731317;oppungjuntao;https://twitter.com/oppungjuntao/status/1720930453572731317
Sat Nov 04 13:49:34 +0000 2023;1720800458024034652;"Today's Top 3 News: Batik Air Offers Non-Stop Flights from Jakarta to KL and Penang, Jokowi's Dynasty and the Future of Democracy https://t.co/52YMh1JHqB #TempoEnglish";0;0;0;0;en;412819445;1720800458024034652;tempo_english;https://twitter.com/tempo_english/status/1720800458024034652
Sat Nov 04 08:10:36 +0000 2023;1720715154701340882;"Khusus maskapai Lion Group (Wings, Batik Air, Super airjet, Lion) utk periode terbang: 12 - 28 November, penerbangan domestic diskon up tp 20 -30% yaa. terakhir isi form pemesanan tgl 6 November ini. Grab it fast !! sisa 5 slot ajaa 🫶 #zonauang #diskonpesawat #tiketpesawatmurah https://t.co/xE3xVy2TWQ";0;0;0;0;in;804583698;1720715154701340882;cheseelovrr;https://twitter.com/cheseelovrr/status/1720715154701340882
Sat Nov 04 07:09:09 +0000 2023;1720699688364769513;"Hi,  i need your help regarding my flight @BatikAir_ID";0;3;1;2;en;36547667;1720699688364769513;Ariarfiandi;https://twitter.com/Ariarfiandi/status/1720699688364769513
Sat Nov 04 04:15:29 +0000 2023;1720655985180819864;"BATIK AIR ID6557 AIRBUS A320 TAKE OFF FROM LOMBOK INTERNATIONAL AIRPORT(LOP) NTB INDONESIA 27102023 https://t.co/HmhCk8zXrR via @YouTube";0;0;0;0;in;61679733;1720655985180819864;ronldrey;https://twitter.com/ronldrey/status/1720655985180819864
Sat Nov 04 02:53:32 +0000 2023;1720635362244981141;"Berjaga² ya semua. Kami dah kena reschedule flight 2 kali. KUL - Incheon Mula² delay 24jam dari Incheon ke KUL. SEKARANG delaykan KUL - Incheon 2 hari. Memang nk suruh kami cancel flight ke apa? Penginapan, domestik flight dll tu cmne? #BatikAir";0;1;0;1;in;195043403;1720635362244981141;erazfadli;https://twitter.com/erazfadli/status/1720635362244981141
Fri Nov 03 14:29:17 +0000 2023;1720448064220168590;"@faizfaizrahman bener banget gue ex mekanik batik air dan pas inspection ada tulisan made in israel 🥲";0;0;0;0;in;1574948062954278912;1720071791035679026;KumikoNakal;https://twitter.com/KumikoNakal/status/1720448064220168590
Fri Nov 03 13:35:04 +0000 2023;1720434420488995325;"📍 PAKEJ KOREA + SEOUL LAND THEMEPARK 🗓 08 - 13 DEC 2023        06H/04M ✈ BATIK AIR 💰 RM4190.00 (ALL IN)  📲 https://t.co/i8FnlJL0Ui  #korea #seoul #seoullandthemepark #trip  #pakej #travel #tours #azhartravelog  #kembaraazhar  #masanyauntuktravel";0;0;0;2;in;1266444736870576129;1720434420488995325;AzharTravelog;https://twitter.com/AzharTravelog/status/1720434420488995325
Fri Nov 03 11:47:08 +0000 2023;1720407257874386998;"@yuriestax @BatikAirINA @BatikAirINA gimana nih tanggapannya, jangan sampai saya ogah naek batik air (Lion Group).";0;1;0;0;in;210008272;1719660989631926602;diantiLBS;https://twitter.com/diantiLBS/status/1720407257874386998
Fri Nov 03 11:05:57 +0000 2023;1720396893195239891;"Batik Air'in İstanbul Uçuşları Başlıyor - Turizm Aktüel https://t.co/3a6k8ShWnB";0;0;0;0;tr;1322423358;1720396893195239891;turizmaktuel;https://twitter.com/turizmaktuel/status/1720396893195239891
Fri Nov 03 11:00:03 +0000 2023;1720395409573728342;"The carrier’s longest route to date will operate every Monday, Wednesday, Friday and Sunday. #kualalumpur #istanbul #batikair  https://t.co/s3EbGXoL1z";0;0;0;0;en;288270124;1720395409573728342;BTMiddleeast;https://twitter.com/BTMiddleeast/status/1720395409573728342
Fri Nov 03 11:00:02 +0000 2023;1720395402921325010;"Salah seorang penumpang pesawat mengalami tindakan pencurian usai melakukan perjalanan udara menggunakan maskapai penerbangan Batik Air.  Selengkapnya https://t.co/AyDU7Pdm1m  #MNCTVNews #Koper #Pesawat #News #Tangerang https://t.co/LGZ3VHBO8w";0;0;0;0;in;61377303;1720395402921325010;Lintas_MNCTV;https://twitter.com/Lintas_MNCTV/status/1720395402921325010
