created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Nov 04 15:42:07 +0000 2023;1720828779822760092;"@menfesspelangi_ FA Citilink nih pasti, jago berpantun  soalnya ✌🏻🫰🏻";0;0;0;1;in;2229375602;1720825523600056409;sazlvky;https://twitter.com/sazlvky/status/1720828779822760092
Sat Nov 04 13:56:15 +0000 2023;1720802137964441930;"Jadi teringat event jeketi pertama ku (bukan citilink) sempet hujan deras dan ditunda (trauma bakal batal 2 kali) tapi akhirnya lanjut juga walau nonton di belakang banget";0;0;1;0;in;1500057647021641730;1720802137964441930;_febri022;https://twitter.com/_febri022/status/1720802137964441930
Sat Nov 04 13:43:40 +0000 2023;1720798971738906981;"@idarrrrre_ huhu citilink";0;0;0;0;tl;1530862213379985408;1720798421756551474;dlayyyyyyyy;https://twitter.com/dlayyyyyyyy/status/1720798971738906981
Sat Nov 04 13:18:09 +0000 2023;1720792548518883557;"Dirut Garuda Indonesia Irfan Setiaputra pastikan merger dengan Citilink dan Pelita Air belum diputuskan. #bisnisupdate #update #bisnis #text https://t.co/yqP4ZIgwYA";0;0;1;1;in;759692754985242625;1720792548518883557;kumparan;https://twitter.com/kumparan/status/1720792548518883557
Sat Nov 04 12:49:40 +0000 2023;1720785383099928782;"Kenapa yaa selalu lama kalau tunggu bagasi di Jakarta @shia_cgk  @AngkasaPura_2 @Citilink  moga aman nih koper 🥱😴 https://t.co/8AmL10Kcbz";0;3;0;0;in;50486281;1720785383099928782;bintang1079;https://twitter.com/bintang1079/status/1720785383099928782
Sat Nov 04 10:48:01 +0000 2023;1720754767050539512;"@traveloka halo kak, bagaimana ya caranya check in online citilink melalui traveloka?";0;1;0;0;in;1375410246709960705;1720754767050539512;niceandcleannn;https://twitter.com/niceandcleannn/status/1720754767050539512
Sat Nov 04 09:47:35 +0000 2023;1720739558172856437;"@8radjamantak4 @PresidenKopi @Citilink @BatikAirINA @Indocafe_ID Ok yg ini...Sip..mksih🙏";0;1;0;1;in;1271448602150178816;1720690226467922212;ButterCupdanie1;https://twitter.com/ButterCupdanie1/status/1720739558172856437
Sat Nov 04 09:48:31 +0000 2023;1720739796593832430;"@ButterCupdanie1 @PresidenKopi @Citilink @BatikAirINA @Indocafe_ID Siap ✌️";0;0;0;0;in;85338478;1720690226467922212;8radjamantak4;https://twitter.com/8radjamantak4/status/1720739796593832430
Sat Nov 04 09:45:28 +0000 2023;1720739026175709555;"@ButterCupdanie1 @PresidenKopi Insya Allah aman ngab... Caffeine mantap menurut aku sih, dah 20 thn konsumsi.  Kl terbang lbh dr 2 jam mesti bawa sachetan ama Tumblr, air panas minta ama mbak2 cantik @Citilink @BatikAirINA  😍☺️  Colek @Indocafe_ID https://t.co/bxuUjeEZNW";0;1;0;0;in;85338478;1720690226467922212;8radjamantak4;https://twitter.com/8radjamantak4/status/1720739026175709555
Sat Nov 04 08:30:56 +0000 2023;1720720270724599902;"Kmrn business trip berangkatnya pake Citilink. Dulu prnh bbrp kali pake si ijo ini di flight domestik &amp  yg gue inget landingnya kasar.  Trnyt kmrn di Changi pun landingnya kasar.  Mana kaga bisa web check in kalo internasional + nanyanya byk bgt pas di konter check in.";0;1;0;0;in;143352129;1720720270724599902;me_crescente;https://twitter.com/me_crescente/status/1720720270724599902
Sat Nov 04 07:59:36 +0000 2023;1720712385504367074;"@Citilink minn kalo misalnya recruitmen dari awal pake hijab bole gaa si";0;0;0;0;in;1538157958277652480;1720712385504367074;onlylovecnhrt;https://twitter.com/onlylovecnhrt/status/1720712385504367074
