created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sat Nov 04 22:59:40 +0000 2023,1720938895205093881,Garuda Indonesia も学割あり。Sydney、Melbourne、Perth のSales officeかEmailで予約。これは帰省というより旅行に使える。 -年齢上限なし -フライト20% off -預け荷物10kg増量 -スポーツ道具、自転車無料追加  https://t.co/qFbYZ8nvBm,0,0,0,2,ja,1492788391817084929,1720938895205093881,iqyomi,https://twitter.com/iqyomi/status/1720938895205093881
Sat Nov 04 14:20:26 +0000 2023,1720808223668920546,I wish Garuda Indonesia would make a playlist on Spotify..,0,0,0,0,en,116080782,1720807760940741019,wecism,https://twitter.com/wecism/status/1720808223668920546
Sat Nov 04 13:18:09 +0000 2023,1720792548518883557,Dirut Garuda Indonesia Irfan Setiaputra pastikan merger dengan Citilink dan Pelita Air belum diputuskan. #bisnisupdate #update #bisnis #text https://t.co/yqP4ZIgwYA,0,0,1,1,in,759692754985242625,1720792548518883557,kumparan,https://twitter.com/kumparan/status/1720792548518883557
Sat Nov 04 12:39:05 +0000 2023,1720782718437568919,"Pesawat Garuda Indonesia tujuan Ambon-Jakarta mengalami delay. Sejumlah penumpang protes, umumnya warga asing. #newsupdate #update #news #text https://t.co/VFCfSd9FoC",0,0,0,0,in,759692754985242625,1720782718437568919,kumparan,https://twitter.com/kumparan/status/1720782718437568919
Sat Nov 04 12:05:49 +0000 2023,1720774348410417418,My very first capture at YIA...👌😊 .  Arrived at Friday's dusk 🌜🌙 . .  🇮🇩 Garuda Indonesia (GA/GIA) ✈️ Boeing 737-8U3 (WL)  ✈️ PK-GMM . Engines:  CFMI CFM56-7B26 . . 🇮🇩 YIA-WAHI on 27 Oct 2023 . @kfa_indonesia  @aviatren https://t.co/5VO0gdHoeq,0,0,2,5,en,1247583472740233216,1720774348410417418,stamaviation,https://twitter.com/stamaviation/status/1720774348410417418
Sat Nov 04 12:02:37 +0000 2023,1720773543812796533,Penumpang pesawat Garuda Indonesia rute Ambon-Jakarta akhirnya diinapkan di hotel. Pesawat mengalami gangguan teknis. #newsupdate #update #news #text https://t.co/IYEWJdXICF,0,0,0,1,in,759692754985242625,1720773543812796533,kumparan,https://twitter.com/kumparan/status/1720773543812796533
Sat Nov 04 11:53:05 +0000 2023,1720771143970459795,"Pesawat Garuda Indonesia tujuan Ambon-Jakarta mengalami delay. Sejumlah penumpang protes, umumnya warga asing. #newsupdate #update #news #text https://t.co/Ric8CV0ef0",0,0,0,2,in,759692754985242625,1720771143970459795,kumparan,https://twitter.com/kumparan/status/1720771143970459795
Sat Nov 04 11:09:33 +0000 2023,1720760189383807193,"Pesawat Garuda Indonesia tujuan Ambon-Jakarta mengalami delay. Sejumlah penumpang protes, umumnya warga asing. #newsupdate #update #news #text https://t.co/n5A40xa8lK",0,0,0,0,in,759692754985242625,1720760189383807193,kumparan,https://twitter.com/kumparan/status/1720760189383807193
Sat Nov 04 10:32:59 +0000 2023,1720750983217864979,"@anasbadlatif Presiden Indonesia, Joko Widodo meresmikan penghantaran  51.5 Ton bantuan kemanusiaan ke Gaza dg 2 buah pesawat C-130 Hercules Angkatan Udara TNI-AU dan sebuah pesawat Boieng Garuda Indonesia  Mereka berlepas dari Lanud Halim Jakarta Terbang ke Al Arish, Mesir https://t.co/36gZWEjcdQ",0,0,0,7,in,1695571783418777600,1720598149902029199,RidwanRidw65219,https://twitter.com/RidwanRidw65219/status/1720750983217864979
Sat Nov 04 10:14:16 +0000 2023,1720746273404567746,"KEMASKINI  Presiden Indonesia, Joko Widodo merasmikan penghantaran  51.5 Tan bantuan kemanusiaan ke Gaza  Penghantaran terdiri daripada 2 buah pesawat C-130 Hercules Tentera Nasional Indonesia Angkatan Udara TNI-AU dan sebuah pesawat Boieng Garuda Indonesia  Mereka berlepas dari… https://t.co/94Q1VfTW0h",32,46,3286,6054,in,2194068895,1720746273404567746,Marchfoward,https://twitter.com/Marchfoward/status/1720746273404567746
Sat Nov 04 05:43:14 +0000 2023,1720678067847548960,"@jayacand @yunartowijaya Centang biru modal bulanan aja bangga cuakkzzz ,",0,0,0,0,in,1712727441507332096,1720632027525918772,GarudaIndo86610,https://twitter.com/GarudaIndo86610/status/1720678067847548960
Sat Nov 04 03:00:02 +0000 2023,1720636995158872302,"Nikmati potongan hingga Rp500.000,- dengan kemudahan cicilan dari TMRW Pay!  Gunakan TMRWPay untuk transaksi pembelian tiket penerbangan Anda di Website Garuda Indonesia dan dapatkan potongan hingga Rp500.000.   Info lengkap :  https://t.co/rarKR0gmqk https://t.co/lJyXF2zfYK",0,0,0,3,in,155418706,1720636995158872302,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720636995158872302
Sat Nov 04 02:00:00 +0000 2023,1720621887418732870,Dapatkan potongan Rp500.000 untuk pemegang Kartu Debit BTN Prioritas hingga 31 Desember 2023.  Gunakan kode promo GABTN di halaman Website atau Aplikasi FlyGaruda sebelum memilih penerbangan.  Info lengkap : https://t.co/5nh0Ej2JAL https://t.co/bDmIVs2OZJ,0,0,1,5,in,155418706,1720621887418732870,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720621887418732870
Sat Nov 04 00:16:01 +0000 2023,1720595718463955123,"@imeyhouuu Sportify lol, kasus Garuda Indonesia ya?",0,0,0,0,in,1158790585370591234,1720075079403610575,AyarAisenodni,https://twitter.com/AyarAisenodni/status/1720595718463955123
Fri Nov 03 16:40:51 +0000 2023,1720481171929465054,Miss A Pramugari Garuda Indonesia Pict 12  Vid 8 https://t.co/bAwrvjuYhX,0,0,0,2,in,1717848555770257408,1720481171929465054,apelmelon23327,https://twitter.com/apelmelon23327/status/1720481171929465054
