created_at,tweet_id,full_text,airline,quote_count,reply_count,retweet_count,favorite_count,lang,username,tweet_url,token,label_score,label
Sat Nov 04 22:59:40 +0000 2023,"1,72E+23",garuda indonesia sydneymelbourneperth sales officeemail off kg,Garuda Indonesia,0,0,0,2,ja,iqyomi,https://twitter.com/iqyomi/status/1720938895205093881,"['garuda', 'indonesia', 'sydneymelbourneperth', 'sales', 'officeemail', 'off', 'kg']",0,netral
Sat Nov 04 14:20:26 +0000 2023,"1,72E+23",wish garuda indonesia would make playlist on spotify,Garuda Indonesia,0,0,0,0,en,wecism,https://twitter.com/wecism/status/1720808223668920546,"['wish', 'garuda', 'indonesia', 'would', 'make', 'playlist', 'on', 'spotify']",0,netral
Sat Nov 04 13:18:09 +0000 2023,"1,72E+23",dirut garuda indonesia irfan setiaputra pastikan merger citilink pelita air diputuskan,Garuda Indonesia,0,0,1,1,in,kumparan,https://twitter.com/kumparan/status/1720792548518883557,"['dirut', 'garuda', 'indonesia', 'irfan', 'setiaputra', 'pastikan', 'merger', 'citilink', 'pelita', 'air', 'diputuskan']",7,positif
Sat Nov 04 12:39:05 +0000 2023,"1,72E+23",pesawat garuda indonesia tujuan ambon jakarta mengalami delay penumpang protes warga asing,Garuda Indonesia,0,0,0,0,in,kumparan,https://twitter.com/kumparan/status/1720782718437568919,"['pesawat', 'garuda', 'indonesia', 'tujuan', 'ambon', 'jakarta', 'mengalami', 'delay', 'penumpang', 'protes', 'warga', 'asing']",-12,negatif
Sat Nov 04 12:05:49 +0000 2023,"1,72E+23",my very first capture at yia arrived at fridays dusk garuda indonesia ga gia boeing u wl pk gmm engines cfmi cfm b yia wahi on oct,Garuda Indonesia,0,0,2,5,en,stamaviation,https://twitter.com/stamaviation/status/1720774348410417418,"['my', 'very', 'first', 'capture', 'at', 'yia', 'arrived', 'at', 'fridays', 'dusk', 'garuda', 'indonesia', 'ga', 'gia', 'boeing', 'u', 'wl', 'pk', 'gmm', 'engines', 'cfmi', 'cfm', 'b', 'yia', 'wahi', 'on', 'oct']",0,netral
Sat Nov 04 12:02:37 +0000 2023,"1,72E+23",penumpang pesawat garuda indonesia rute ambon jakarta diinapkan hotel pesawat mengalami gangguan teknis,Garuda Indonesia,0,0,0,1,in,kumparan,https://twitter.com/kumparan/status/1720773543812796533,"['penumpang', 'pesawat', 'garuda', 'indonesia', 'rute', 'ambon', 'jakarta', 'diinapkan', 'hotel', 'pesawat', 'mengalami', 'gangguan', 'teknis']",-10,negatif
Sat Nov 04 11:53:05 +0000 2023,"1,72E+23",pesawat garuda indonesia tujuan ambon jakarta mengalami delay penumpang protes warga asing,Garuda Indonesia,0,0,0,2,in,kumparan,https://twitter.com/kumparan/status/1720771143970459795,"['pesawat', 'garuda', 'indonesia', 'tujuan', 'ambon', 'jakarta', 'mengalami', 'delay', 'penumpang', 'protes', 'warga', 'asing']",-12,negatif
Sat Nov 04 11:09:33 +0000 2023,"1,72E+23",pesawat garuda indonesia tujuan ambon jakarta mengalami delay penumpang protes warga asing,Garuda Indonesia,0,0,0,0,in,kumparan,https://twitter.com/kumparan/status/1720760189383807193,"['pesawat', 'garuda', 'indonesia', 'tujuan', 'ambon', 'jakarta', 'mengalami', 'delay', 'penumpang', 'protes', 'warga', 'asing']",-12,negatif
Sat Nov 04 10:32:59 +0000 2023,"1,72E+23",presiden indonesia joko widodo meresmikan penghantaran ton bantuan kemanusiaan gaza dg buah pesawat c hercules angkatan udara tni au pesawat boieng garuda indonesia berlepas lanud halim jakarta terbang al arish mesir,Garuda Indonesia,0,0,0,7,in,RidwanRidw65219,https://twitter.com/RidwanRidw65219/status/1720750983217864979,"['presiden', 'indonesia', 'joko', 'widodo', 'meresmikan', 'penghantaran', 'ton', 'bantuan', 'kemanusiaan', 'gaza', 'dg', 'buah', 'pesawat', 'c', 'hercules', 'angkatan', 'udara', 'tni', 'au', 'pesawat', 'boieng', 'garuda', 'indonesia', 'berlepas', 'lanud', 'halim', 'jakarta', 'terbang', 'al', 'arish', 'mesir']",-13,negatif
Sat Nov 04 10:14:16 +0000 2023,"1,72E+22",kemaskini presiden indonesia joko widodo merasmikan penghantaran tan bantuan kemanusiaan gaza penghantaran buah pesawat c hercules tentera nasional indonesia angkatan udara tni au pesawat boieng garuda indonesia berlepas,Garuda Indonesia,32,46,3286,6054,in,Marchfoward,https://twitter.com/Marchfoward/status/1720746273404567746,"['kemaskini', 'presiden', 'indonesia', 'joko', 'widodo', 'merasmikan', 'penghantaran', 'tan', 'bantuan', 'kemanusiaan', 'gaza', 'penghantaran', 'buah', 'pesawat', 'c', 'hercules', 'tentera', 'nasional', 'indonesia', 'angkatan', 'udara', 'tni', 'au', 'pesawat', 'boieng', 'garuda', 'indonesia', 'berlepas']",-13,negatif
