created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 08 18:53:14 +0000 2023;1722326428170219996;"Pritttt prittt pritttt";0;0;0;0;en;1406825428342300677;1722326428170219996;pelitaair09;https://twitter.com/pelitaair09/status/1722326428170219996
Wed Nov 08 18:39:27 +0000 2023;1722322960487444529;"@beverlyIaurel Kalo sudah tidak sexually active apakah masih perlu cek kak? Mohon advis 🙏🏼";0;1;0;0;in;1406825428342300677;1722219911312007620;pelitaair09;https://twitter.com/pelitaair09/status/1722322960487444529
Wed Nov 08 18:38:23 +0000 2023;1722322689514405896;"Lemperpool dibobol 2x sm ni org bukannya dibeli";0;0;0;0;in;1406825428342300677;1722322689514405896;pelitaair09;https://twitter.com/pelitaair09/status/1722322689514405896
Wed Nov 08 18:36:53 +0000 2023;1722322316028469708;"Alaaaaa";0;0;0;0;und;1406825428342300677;1722322316028469708;pelitaair09;https://twitter.com/pelitaair09/status/1722322316028469708
Wed Nov 08 18:26:33 +0000 2023;1722319713144049777;"@wilisetiadi10 @prihanfakri Ape kate kader partai republikan ni";0;0;0;0;lt;1406825428342300677;1721960509703110736;pelitaair09;https://twitter.com/pelitaair09/status/1722319713144049777
Wed Nov 08 18:26:01 +0000 2023;1722319581241651349;"@theblessedguy Joget apa lu fik di tiktok?";0;1;0;0;in;1406825428342300677;1722258589379862898;pelitaair09;https://twitter.com/pelitaair09/status/1722319581241651349
Wed Nov 08 17:30:52 +0000 2023;1722305701652103460;"kalian harus nyobain naik pelita air sihhhhhh https://t.co/Bfx2oeyCu7";0;2;0;9;in;473916480;1722305701652103460;unniebe;https://twitter.com/unniebe/status/1722305701652103460
Wed Nov 08 14:05:10 +0000 2023;1722253932603576597;"@fajarnugros Garuda, citilink atau pelita air mas?";0;0;0;0;in;69818675;1722216528828158107;JohnT7582;https://twitter.com/JohnT7582/status/1722253932603576597
Wed Nov 08 11:47:38 +0000 2023;1722219323652251755;"Lowongan kerja PT Pelita Air Service (Pelita Air) Lokasi Jakarta https://t.co/40W9Lr8uJV https://t.co/0SMIN3WqXu";0;0;0;0;in;1383673326183141383;1722219323652251755;portalkalbar1;https://twitter.com/portalkalbar1/status/1722219323652251755
Wed Nov 08 10:55:30 +0000 2023;1722206201700925523;"PELUANG EMAS! Lowongan kerja PT Pelita Air Service karir di anak perusahaan Pertamina, potensi dapat gaji besa https://t.co/glXpMNoANw";0;0;0;0;in;1611163314234740736;1722206201700925523;Daniarhm8;https://twitter.com/Daniarhm8/status/1722206201700925523
Wed Nov 08 09:20:32 +0000 2023;1722182303546585528;"Follow @Coltliq90 || Pelita Air Service Jobs: 9 Positions https://t.co/24GLwnp9l8";0;0;0;0;en;2893722433;1722182303546585528;BKNSquare;https://twitter.com/BKNSquare/status/1722182303546585528
